###################################################################################################
#
#                       This file is part of the LifeV Library
#                Copyright (C) 2004, 2005, 2007 EPFL, Politecnico di Milano, INRIA
#                Copyright (C) 2010 EPFL, Politecnico di Milano, Emory University
#
#      Author(s): Cristiano Malossi <cristiano.malossi@epfl.ch>
				  Jean Bonnemain <jean.bonnemain@epfl.ch>
#           Date: 2011-09-01
#  License Terms: GNU LGPL
#
###################################################################################################
### HEART PROFILE #################################################################################
###################################################################################################
# First column:  time [s]
# Second column: Physiological flow rate given by P. Reymond - Continuous Flow 80% (mean over one heartbeat)
#
# One loop correspond to one heart pulse (pulse / minute: 75)
###################################################################################################

function  = '-q' # Physiological flux [cm^3/s]

variables = 't            q'
scale     = '1            1'

loop      = true

# Items must be sorted by the first column value!
data        = '
                0.00     75.6078
                0.01     75.6078
                0.02     75.6078
                0.03     75.6078
                0.04     75.6078
                0.05     75.6078
                0.06     75.6078
                0.07     75.6078
                0.08     75.6078
                0.09     75.6078
                0.10     75.6078
                0.11     75.6078
                0.12     75.6078
                0.13     75.6078
                0.14     75.6078
                0.15     75.6078
                0.16     75.6078
                0.17     75.6078
                0.18     75.6078
                0.19     75.6078
                0.20     75.6078
                0.21     75.6078
                0.22     75.6078
                0.23     75.6078
                0.24     75.6078
                0.25     75.6078
                0.26     75.6078
                0.27     75.6078
                0.28     75.6078
                0.29     75.6078
                0.30     75.6078
                0.31     75.6078
                0.32     75.6078
                0.33     75.6078
                0.34     75.6078
                0.35     75.6078
                0.36     75.6078
                0.37     75.6078
                0.38     75.6078
                0.39     75.6078
                0.40     75.6078
                0.41     75.6078
                0.42     75.6078
                0.43     75.6078
                0.44     75.6078
                0.45     75.6078
                0.46     75.6078
                0.47     75.6078
                0.48     75.6078
                0.49     75.6078
                0.50     75.6078
                0.51     75.6078
                0.52     75.6078
                0.53     75.6078
                0.54     75.6078
                0.55     75.6078
                0.56     75.6078
                0.57     75.6078
                0.58     75.6078
                0.59     75.6078
                0.60     75.6078
                0.61     75.6078
                0.62     75.6078
                0.63     75.6078
                0.64     75.6078
                0.65     75.6078
                0.66     75.6078
                0.67     75.6078
                0.68     75.6078
                0.69     75.6078
                0.70     75.6078
                0.71     75.6078
                0.72     75.6078
                0.73     75.6078
                0.74     75.6078
                0.75     75.6078
                0.76     75.6078
                0.77     75.6078
                0.78     75.6078
                0.79     75.6078
                0.80     75.6078'
